22.21,0.00
22.73,0.00
23.12,-1.00
23.06,-1.00
22.71,0.00
22.47,0.00
22.57,0.00
22.92,0.00
23.18,0.00
23.17,0.00
22.93,0.00
22.70,0.00
22.66,0.00
22.80,0.00
22.88,0.00
22.71,0.00
22.38,0.00
22.17,0.00
22.32,0.00
22.67,0.00
22.87,0.00
22.78,0.00
22.65,0.00
22.75,0.00
23.04,0.00
23.30,0.00
23.30,0.00
22.99,0.00
22.53,0.00
22.20,0.00
22.22,0.00
22.55,0.00
22.79,0.00
22.75,0.00
22.56,0.00
22.54,0.00
22.81,0.00
23.10,0.00
23.03,0.00
22.52,0.00
21.90,0.00
21.75,0.00
22.19,0.00
22.86,0.00
23.20,0.00
23.00,0.00
22.46,0.00
22.07,0.00
22.28,0.00
22.88,0.00
23.37,0.00
23.33,0.00
22.80,0.00
22.21,0.00
22.00,0.00
22.26,0.00
22.77,0.00
23.21,0.00
23.32,0.00
23.12,0.00
22.93,0.00
23.02,0.00
23.26,0.00
23.31,0.00
23.03,0.00
22.64,0.00
22.58,0.00
22.91,0.00
23.33,0.00
23.45,0.00
23.11,0.00
22.50,0.00
22.13,0.00
22.31,0.00
22.82,0.00
23.20,0.00
23.10,0.00
22.67,0.00
22.38,0.00
22.56,0.00
23.12,0.00
23.55,0.00
23.36,0.00
22.68,0.00
22.17,0.00
22.34,0.00
23.07,0.00
23.69,0.00
23.61,0.00
22.77,0.00
21.83,0.00
21.62,1.00
22.32,0.00
23.43,0.00
24.00,0.00
23.43,0.00
22.21,0.00
21.35,1.00
21.69,0.00
23.08,0.00
24.57,-1.00
24.99,-1.00
23.89,0.00
21.99,0.00
20.68,1.00
21.06,1.00
22.76,0.00
24.35,-1.00
24.45,-1.00
22.86,0.00
20.87,1.00
20.21,2.00
21.54,0.00
23.74,0.00
24.93,-1.00
23.99,0.00
21.56,1.00
19.66,2.00
20.05,2.00
22.53,0.00
25.12,-1.00
25.70,-2.00
23.52,0.00
20.06,2.00
18.21,3.00
19.65,2.00
23.24,0.00
26.20,-2.00
26.23,-2.00
22.86,0.00
18.45,3.00
16.74,4.00
19.20,2.00
23.71,-1.00
26.96,-3.00
26.68,-3.00
22.18,0.00
15.85,5.00
12.58,7.00
15.01,5.00
20.84,0.00
26.02,-3.00
26.96,-3.00
22.16,0.00
13.58,6.00
7.11,11.00
7.59,9.00
13.58,4.00
20.35,0.00
22.95,-2.00
18.93,0.00
9.96,7.00
2.34,12.00
1.86,12.00
7.51,7.00
14.57,1.00
17.82,-1.00
14.71,0.00
6.75,6.00
0.13,11.00
0.57,10.00
7.12,4.00
15.09,-1.00
19.04,-4.00
16.00,-2.00
7.36,4.00
-0.91,10.00
-2.25,10.00
3.23,5.00
10.76,0.00
14.83,-3.00
12.40,-2.00
4.67,3.00
-2.23,8.00
-2.05,7.00
5.03,1.00
14.28,-5.00
19.73,-9.00
17.28,-6.00
8.07,0.00
-2.33,8.00
-6.44,11.00
-2.16,7.00
6.00,0.00
12.07,-4.00
11.55,-3.00
4.66,1.00
-3.59,8.00
-6.38,9.00
-1.68,5.00
6.80,-1.00
13.85,-7.00
14.55,-7.00
8.51,-2.00
-0.77,5.00
-6.53,9.00
-4.87,7.00
1.27,1.00
7.41,-3.00
9.37,-4.00
6.04,-1.00
-0.14,3.00
-3.71,5.00
-1.68,3.00
4.26,0.00
10.40,-5.00
13.53,-7.00
11.95,-5.00
6.37,0.00
0.81,3.00
-1.11,4.00
1.53,2.00
5.85,-1.00
9.03,-3.00
9.43,-3.00
6.41,-1.00
