5083,8.45,0.00
5177,14.03,0.00
5271,19.08,-1.00
5365,21.75,-1.00
5460,21.06,-1.00
5554,16.53,0.00
5648,9.54,0.00
5742,4.73,0.00
5836,5.57,0.00
5930,10.63,0.00
6025,16.24,0.00
6119,20.85,-1.00
6213,22.48,-1.00
6307,20.67,-1.00
6401,14.91,0.00
6495,7.86,0.00
6590,4.32,1.00
6684,6.63,0.00
6778,11.95,0.00
6872,17.32,-1.00
6966,21.17,-1.00
7060,21.85,-1.00
7155,19.03,-1.00
7249,12.66,0.00
7343,6.54,0.00
7437,5.05,1.00
7531,8.82,0.00
7625,14.33,0.00
7720,19.34,-1.00
7814,22.23,-1.00
7908,21.96,-1.00
8002,17.97,-1.00
8096,11.32,0.00
8190,6.38,1.00
8285,6.67,1.00
8379,11.29,0.00
8473,16.61,0.00
8567,20.96,-1.00
8661,22.91,-2.00
8755,21.88,-1.00
8850,17.11,0.00
8944,11.00,0.00
9038,7.86,0.00
9132,9.92,0.00
9226,14.87,0.00
9321,19.55,-1.00
9415,22.69,-2.00
9509,23.09,-2.00
9603,20.20,-1.00
9697,14.06,0.00
9791,8.49,1.00
9886,7.44,1.00
9980,11.30,0.00
10074,16.60,0.00
10168,21.13,-1.00
10262,23.53,-2.00
10356,23.02,-2.00
10451,18.82,-1.00
10545,12.47,0.00
10639,8.25,1.00
10733,9.12,1.00
10827,13.71,0.00
10921,18.53,-1.00
11016,22.10,-1.00
11110,23.31,-2.00
11204,21.58,-1.00
11298,16.39,0.00
11392,10.76,0.00
11486,8.74,1.00
11581,11.70,0.00
11675,16.80,0.00
11769,21.25,-1.00
11863,23.86,-2.00
11957,23.78,-2.00
12051,20.29,-1.00
12146,14.14,0.00
12240,9.31,1.00
12334,9.23,1.00
12428,13.42,0.00
12522,18.36,-1.00
12617,22.23,-1.00
12711,23.81,-2.00
12805,22.54,-2.00
12899,17.66,0.00
12993,11.56,0.00
13087,8.49,1.00
13182,10.63,0.00
13276,15.64,0.00
13370,20.32,-1.00
13464,23.39,-2.00
13558,23.71,-2.00
13652,20.73,-1.00
13747,14.58,0.00
13841,9.06,1.00
13935,8.11,1.00
14029,12.02,0.00
14123,17.28,0.00
14217,21.73,-1.00
14312,23.93,-2.00
14406,23.14,-2.00
14500,18.62,0.00
14594,12.17,0.00
14688,8.26,1.00
14782,9.68,1.00
14877,14.49,0.00
14971,19.36,-1.00
15065,22.87,-2.00
15159,23.59,-2.00
15253,21.03,-1.00
15348,14.96,0.00
15442,9.03,1.00
15536,7.40,2.00
15630,10.88,1.00
15724,16.15,0.00
15818,20.82,-1.00
15913,23.58,-2.00
16007,23.61,-2.00
16112,20.02,-1.00
16195,14.15,0.00
16289,10.20,1.00
16383,11.03,1.00
16478,15.41,0.00
16572,19.99,-1.00
16666,23.22,-2.00
16760,24.12,-2.00
16854,22.09,-1.00
16948,16.74,0.00
17043,11.19,1.00
17137,9.30,1.00
17231,12.34,1.00
17325,17.44,0.00
17419,21.79,-1.00
17513,24.30,-2.00
17608,24.22,-2.00
17702,20.73,-1.00
17796,14.80,0.00
17890,10.40,1.00
17984,10.65,1.00
18078,14.90,0.00
18173,19.68,0.00
18267,23.23,-1.00
18361,24.52,-2.00
18455,23.01,-1.00
18549,18.06,0.00
18643,12.51,1.00
18738,10.38,1.00
18832,13.22,0.00
18926,18.27,0.00
19020,22.67,-1.00
19114,25.15,-2.00
19209,24.74,-2.00
19303,20.86,-1.00
19397,14.29,0.00
19491,9.17,2.00
19585,9.07,2.00
19679,13.36,1.00
19774,18.46,0.00
19868,22.64,-1.00
19962,24.44,-2.00
20056,23.27,-1.00
20150,18.35,0.00
20244,12.47,1.00
20339,9.92,2.00
20433,12.41,1.00
20527,17.30,0.00
20621,21.72,-1.00
20715,24.48,-1.00
20809,24.73,-1.00
20904,21.64,-1.00
20998,16.00,0.00
21092,11.69,1.00
21186,11.91,1.00
21280,16.08,0.00
21374,20.74,0.00
21469,24.12,-1.00
21563,25.17,-2.00
21657,23.41,-1.00
21751,18.22,0.00
21845,12.49,1.00
21939,10.30,2.00
22034,13.14,1.00
22128,18.13,0.00
22222,22.55,-1.00
22316,25.07,-1.00
22410,24.70,-1.00
22505,20.77,0.00
22599,14.35,1.00
22693,9.69,2.00
22787,10.18,2.00
22881,14.85,1.00
22975,20.06,0.00
23070,24.17,-1.00
23164,25.56,-1.00
23258,23.72,-1.00
23352,18.11,0.00
23446,11.79,2.00
23540,9.24,2.00
23635,12.08,1.00
23729,17.29,0.00
23823,22.13,0.00
23917,25.11,-1.00
24011,25.10,-1.00
24105,21.51,0.00
24200,15.03,1.00
24294,9.95,2.00
24388,9.96,2.00
24482,14.36,1.00
24576,19.52,0.00
24670,23.72,-1.00
24765,25.43,-1.00
24859,24.11,-1.00
24953,19.03,0.00
25047,12.85,1.00
25141,9.95,2.00
25235,12.34,2.00
25330,17.39,0.00
25424,22.10,0.00
25518,25.12,-1.00
25612,25.25,-1.00
25706,21.93,0.00
25800,15.59,1.00
25895,10.34,2.00
25989,10.05,2.00
26083,14.36,1.00
26177,19.66,0.00
26271,24.11,-1.00
26366,25.93,-1.00
26460,24.49,-1.00
26554,19.13,0.00
26648,12.38,2.00
26742,8.88,3.00
26836,10.98,2.00
26931,16.10,1.00
27025,21.19,0.00
27119,24.74,-1.00
27213,25.42,-1.00
27307,22.64,0.00
27401,16.59,0.00
27496,11.38,2.00
27590,10.83,2.00
27684,14.77,1.00
27778,19.68,0.00
27872,23.74,-1.00
27966,25.44,-1.00
