12443,-0.82,1.00
12521,-1.60,1.00
12615,-3.45,3.00
12709,-7.09,6.00
12803,-12.61,10.00
12897,-17.67,11.00
12991,-18.45,8.00
13086,-13.62,1.00
13180,-5.66,-4.00
13274,2.32,-7.00
13368,7.64,-7.00
13462,8.73,-4.00
13556,5.31,1.00
13650,-0.40,5.00
13745,-6.03,7.00
13839,-9.61,7.00
13933,-9.74,4.00
14027,-7.22,1.00
14121,-3.34,-1.00
14215,1.18,-4.00
14309,5.29,-5.00
14404,7.55,-4.00
14498,7.08,-2.00
14592,4.01,1.00
14686,-0.60,4.00
14780,-5.03,6.00
14874,-7.45,5.00
14969,-7.25,3.00
15063,-5.04,0.00
15157,-1.70,-1.00
15251,1.79,-3.00
15345,4.43,-3.00
15439,5.45,-2.00
15533,4.59,0.00
15628,2.13,1.00
15722,-1.01,3.00
15816,-3.57,4.00
15910,-4.69,3.00
16004,-4.22,1.00
16098,-2.55,0.00
16193,-0.36,-1.00
16287,1.68,-2.00
16381,3.02,-2.00
16475,3.26,-1.00
16569,2.34,0.00
16664,0.68,1.00
16758,-1.07,2.00
16852,-2.31,2.00
16946,-2.70,2.00
17040,-2.23,1.00
17134,-1.18,0.00
17229,0.11,0.00
17323,1.29,-1.00
17417,1.98,0.00
17511,1.98,0.00
17605,1.35,0.00
17699,0.44,1.00
17794,-0.43,1.00
17888,-0.99,1.00
17982,-1.14,1.00
18076,-0.93,0.00
18170,-0.45,0.00
18265,0.16,0.00
18359,0.62,0.00
18453,0.73,0.00
18547,0.50,0.00
18641,0.08,1.00
18735,-0.27,1.00
18830,-0.37,0.00
18924,-0.31,0.00
19018,-0.19,0.00
19112,-0.02,0.00
19206,0.21,0.00
19300,0.44,0.00
19395,0.49,0.00
19489,0.28,0.00
19583,-0.07,1.00
19677,-0.34,1.00
19771,-0.39,1.00
19865,-0.27,0.00
19960,-0.05,0.00
20054,0.19,0.00
20148,0.48,0.00
20242,0.72,0.00
20336,0.74,0.00
20431,0.45,0.00
20525,-0.01,1.00
20619,-0.35,1.00
20713,-0.38,1.00
20807,-0.18,0.00
20901,0.05,0.00
20996,0.22,0.00
21090,0.34,0.00
21184,0.42,0.00
21278,0.42,0.00
21372,0.24,0.00
21466,-0.01,1.00
21561,-0.19,1.00
21655,-0.20,0.00
21749,-0.09,0.00
21843,0.02,0.00
