0.06,0.00
-0.98,0.00
-3.48,0.00
-8.23,2.00
-15.08,3.00
-21.13,4.00
-21.86,3.00
-16.03,1.00
-6.77,0.00
2.26,-2.00
7.89,-3.00
8.44,-2.00
4.30,-1.00
-1.14,0.00
-5.17,0.00
-6.19,0.00
-4.86,0.00
-3.27,0.00
-2.49,0.00
-1.89,0.00
-0.88,0.00
0.37,0.00
1.45,-1.00
1.69,0.00
0.92,0.00
-0.09,0.00
-0.62,0.00
-0.61,0.00
-0.29,0.00
-0.05,0.00
-0.01,0.00
0.12,0.00
0.37,0.00
0.59,0.00
0.64,0.00
0.42,0.00
0.15,0.00
0.10,0.00
0.22,0.00
0.44,0.00
0.56,0.00
0.47,0.00
0.30,0.00
0.16,0.00
0.13,0.00
0.22,0.00
0.27,0.00
0.20,0.00
0.10,0.00
0.02,0.00
0.04,0.00
0.12,0.00
0.16,0.00
0.23,0.00
