-0.49,0.00
-1.48,0.00
-3.66,2.00
-7.84,5.00
-14.14,9.00
-19.83,13.00
-20.68,12.00
-15.58,7.00
-7.46,1.00
0.22,-4.00
4.67,-7.00
4.44,-6.00
0.31,-3.00
-4.29,0.00
-6.62,2.00
-5.64,1.00
-2.96,0.00
-0.90,-2.00
-0.53,-2.00
-1.05,-1.00
-1.26,-1.00
-0.78,-1.00
0.10,-2.00
0.53,-2.00
0.15,-2.00
-0.46,-1.00
-0.73,-1.00
-0.54,-1.00
-0.08,-1.00
0.18,-1.00
0.07,-1.00
-0.13,-1.00
-0.21,0.00
-0.13,0.00
-0.02,0.00
-0.06,0.00
-0.12,0.00
-0.08,0.00
-0.05,0.00
-0.06,0.00
-0.11,0.00
-0.17,0.00
-0.21,0.00
-0.24,0.00
-0.27,0.00
-0.30,0.00
-0.29,0.00
-0.25,0.00
-0.20,0.00
-0.19,0.00
-0.25,0.00
-0.31,0.00
-0.36,0.00
-0.39,0.00
-0.35,0.00
