-19.48,0.00
-19.73,0.00
-20.35,0.00
-21.54,0.00
-23.12,1.00
-24.20,1.00
-24.01,1.00
-22.61,0.00
-20.67,0.00
-18.91,0.00
-17.64,-1.00
-16.95,-1.00
-16.96,-1.00
-17.70,0.00
-18.89,0.00
-20.04,0.00
-20.79,0.00
-21.05,0.00
-20.81,0.00
-20.23,0.00
-19.48,0.00
-18.80,0.00
-18.42,0.00
-18.41,0.00
-18.68,0.00
-19.10,0.00
-19.53,0.00
-19.83,0.00
-19.94,0.00
-19.87,0.00
-19.69,0.00
-19.46,0.00
-19.22,0.00
-19.06,0.00
-19.04,0.00
-19.16,0.00
-19.38,0.00
-19.59,0.00
-19.70,0.00
-19.70,0.00
-19.63,0.00
-19.52,0.00
-19.42,0.00
-19.31,0.00
-19.20,0.00
-19.17,0.00
-19.19,0.00
-19.22,0.00
-19.26,0.00
-19.30,0.00
-19.33,0.00
-19.30,0.00
-19.26,0.00
-19.22,0.00
-19.25,0.00
-19.29,0.00
-19.30,0.00
-19.30,0.00
-19.34,0.00
-19.38,0.00
-19.40,0.00
-19.37,0.00
