26283,-0.19,0.00
26361,-1.07,0.00
26455,-3.36,1.00
26549,-7.83,5.00
26643,-14.53,9.00
26737,-20.59,13.00
26831,-21.58,13.00
26926,-16.25,8.00
27020,-7.75,0.00
27114,0.32,-5.00
27208,4.90,-8.00
27302,4.55,-7.00
27396,0.06,-2.00
27490,-4.72,0.00
27585,-6.93,2.00
27679,-5.66,1.00
27773,-2.76,0.00
27867,-0.68,-2.00
27961,-0.55,-2.00
28055,-1.50,-1.00
28149,-1.95,-1.00
28244,-1.31,-1.00
28338,0.02,-2.00
28432,0.97,-3.00
28526,0.86,-2.00
28620,0.14,-2.00
28714,-0.29,-1.00
28808,-0.11,-1.00
28903,0.40,-1.00
28997,0.70,-2.00
29091,0.51,-1.00
29185,0.16,-1.00
29279,0.01,-1.00
29373,0.13,-1.00
29467,0.37,-1.00
29561,0.40,-1.00
29656,0.17,-1.00
29750,-0.05,0.00
29844,-0.07,0.00
29938,0.12,0.00
30032,0.38,0.00
